id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
9842,2014,1,골목상권,신목로2길,화장품,26160027,0
9874,2014,1,골목상권,목동동로12길,화초,42832776,2
9965,2014,1,골목상권,은행정로5길,치킨전문점,368625115,5
10477,2014,1,골목상권,은행정로5길,일반교습학원,57273920,4
10623,2014,1,골목상권,남부순환로33길,패스트푸드점,18614992,1
10639,2014,1,골목상권,목동중앙남로3가길,안경,93473621,2
10878,2014,1,골목상권,남부순환로88길,한식음식점,454591602,9
10909,2014,1,골목상권,남부순환로88길,치킨전문점,52679955,6
10950,2014,1,골목상권,목동중앙북로16길,육류판매,541422046,2
10953,2014,1,골목상권,곰달래로3길,의약품,93244222,3
10959,2014,1,전통시장,신정제일시장,치과의원,191116041,1
10962,2014,1,전통시장,신정제일시장,편의점,348395955,1
10966,2014,1,전통시장,신정제일시장,운동/경기용품,358391004,1
10974,2014,1,골목상권,목동중앙서로8가길,중식음식점,17671593,1
10977,2014,1,골목상권,목동중앙서로8가길,안경,37016538,1
10981,2014,1,골목상권,중앙로51길,분식전문점,21639345,1
10993,2014,1,골목상권,중앙로51길,반찬가게,49797807,3
10996,2014,1,골목상권,신목로6길,편의점,365530326,3
11498,2014,1,골목상권,목동중앙남로3가길,한식음식점,671870571,16
11754,2014,1,골목상권,목동중앙남로3가길,미용실,99889309,9
11848,2014,1,골목상권,신월로20길,자전거 및 기타운송장비,568767733,1
12009,2014,1,골목상권,목동중앙본로7길,한의원,63300289,1
12018,2014,1,골목상권,목동중앙서로8가길,인테리어,1436451,4
12171,2014,1,골목상권,남부순환로88길,세탁소,62564964,2
12267,2014,1,골목상권,목동중앙본로7길,가구,19814001,1
12286,2014,1,골목상권,남부순환로58길,세탁소,7656543,1
12376,2014,1,골목상권,곰달래로2길,미용실,5048440,4
12415,2014,1,골목상권,목동동로12길,골프연습장,62307875,3
12445,2014,1,골목상권,목동로19길,문구,948578348,2
12448,2014,1,골목상권,목동중앙서로7길,화초,9335284,4
12452,2014,1,골목상권,목동중앙서로8가길,PC방,20795377,3
12462,2014,1,전통시장,경창시장,슈퍼마켓,1164244504,4
12465,2014,1,전통시장,경창시장,일반의류,56563164,4
12469,2014,1,전통시장,경창시장,일반교습학원,26831709,4
12472,2014,1,전통시장,경창시장,독서실,2836777,1
12477,2014,1,전통시장,경창시장,청과상,81277808,3
12480,2014,1,전통시장,경창시장,유아의류,204000000,3
12484,2014,1,전통시장,경창시장,신발,8891796,1
12493,2014,1,골목상권,신월로15길,외국어학원,129757715,1
