id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
1635,2014,1,골목상권,국회대로56길,중식음식점,110657959,3
1636,2014,1,골목상권,영등포로35길,외국어학원,155706383,2
1638,2014,1,골목상권,영등포로35길,미곡판매,10624519,2
1643,2014,1,골목상권,국회대로56길,자동차부품,30952165,8
1646,2014,1,골목상권,영등포로35길,호프-간이주점,85273088,5
1657,2014,1,전통시장,영등포전통시장,치킨전문점,117605812,6
1668,2014,1,전통시장,도림시장,시계및귀금속,1999281,1
1669,2014,1,골목상권,도림로147길,호프-간이주점,175957689,8
1671,2014,1,골목상권,도림로147길,일반의원,51659123,1
1672,2014,1,골목상권,도림로147길,의약품,141004032,2
1675,2014,1,골목상권,경인로90길,세무사사무소,473049082,10
3443,2014,1,골목상권,양평로22라길,예술학원,3931122,2
3444,2014,1,골목상권,양평로22라길,일반의원,42552978,1
4087,2014,1,발달상권,영등포유통상가,완구,150549301,20
4652,2014,1,골목상권,도림천로21길,노래방,47246714,0
4654,2014,1,골목상권,대림로22길,미곡판매,20787457,1
5019,2014,1,골목상권,당산로38길,스포츠클럽,1563329,1
5021,2014,1,골목상권,대림로34길,반찬가게,24923341,8
5029,2014,1,골목상권,당산로38길,컴퓨터및주변장치판매,73142820,4
5034,2014,1,골목상권,경인로80길,자동차미용,6146893,1
5036,2014,1,골목상권,경인로80길,컴퓨터및주변장치판매,1032057445,5
5037,2014,1,골목상권,디지털로57길,예술학원,36864728,1
5040,2014,1,골목상권,대림로31길,가전제품수리,123601767,6
5041,2014,1,골목상권,영신로9길,커피-음료,19440617,1
5043,2014,1,골목상권,경인로77길,화초,2179302,1
5108,2014,1,골목상권,여의대방로61길,일반교습학원,20765957,1
5213,2014,1,발달상권,영등포유통상가,시계및귀금속,69189,2
5214,2014,1,골목상권,영등포로84길,핸드폰,840475,1
5217,2014,1,골목상권,여의대방로35길,한복점,56512821,0
5247,2014,1,골목상권,대림로31길,자동차부품,14673488,4
5616,2014,1,골목상권,대림로7길,노래방,72164365,4
5934,2014,1,골목상권,디지털로37길,중식음식점,2899851043,58
5937,2014,1,골목상권,도림천로21길,일반교습학원,58563066,3
5944,2014,1,골목상권,도림천로21길,예술학원,12216002,3
6127,2014,1,골목상권,신길로39길,호프-간이주점,5094543,4
6138,2014,1,골목상권,신길로39길,커피-음료,1484750,1
6145,2014,1,골목상권,가마산로61길,세탁소,8412138,2
6463,2014,1,골목상권,영등포로62길,자동차수리,166816132,1
6869,2014,1,골목상권,영등포로25길,한의원,60974647,2
6872,2014,1,골목상권,영등포로25길,핸드폰,142886319,3
6876,2014,1,골목상권,영등포로25길,일반의류,462286467,7
6879,2014,1,골목상권,영등포로25길,철물점,50232153,5
6969,2014,1,골목상권,대림로34길,자동차수리,57266310,1
6973,2014,1,골목상권,대림로31길,일반의류,144968484,9
6991,2014,1,골목상권,당산로38길,슈퍼마켓,263677233,5
6997,2014,1,골목상권,당산로38길,치과의원,105405190,1
7000,2014,1,골목상권,당산로38길,청과상,112010569,3
7004,2014,1,골목상권,당산로38길,일반의류,42290488,6
7239,2014,1,전통시장,영등포전통시장,제과점,1370451944,24
7241,2014,1,전통시장,영등포전통시장,커피-음료,4211860402,48
7242,2014,1,전통시장,영등포전통시장,한의원,1236482901,10
7245,2014,1,골목상권,도신로60길,신발,28901784,1
7286,2014,1,골목상권,당산로31길,치킨전문점,142225625,1
7293,2014,1,골목상권,당산로31길,예술학원,36946439,4
7296,2014,1,골목상권,당산로31길,네일숍,12224449,1
7311,2014,1,발달상권,영등포유통상가,슈퍼마켓,149083455,20
7317,2014,1,골목상권,영등포로27길,슈퍼마켓,113756447,7
7320,2014,1,골목상권,영등포로25길,육류판매,45310691,1
7324,2014,1,발달상권,영등포유통상가,노래방,57537323,8
7327,2014,1,발달상권,영등포유통상가,패스트푸드점,87319267,1
7339,2014,1,골목상권,당산로46길,여관,24618312,4
7356,2014,1,골목상권,당산로46길,노래방,19111045,2
7359,2014,1,골목상권,당산로46길,슈퍼마켓,55209279,6
7364,2014,1,골목상권,당산로46길,의약품,679697065,3
7367,2014,1,골목상권,당산로46길,안경,33087314,1
7371,2014,1,골목상권,당산로46길,미용실,4645091,3
7374,2014,1,골목상권,당산로46길,미곡판매,3589705,3
7383,2014,1,골목상권,당산로37길,노래방,8727350,1
7387,2014,1,골목상권,여의대방로61길,미곡판매,14661088,1
7390,2014,1,골목상권,영등포로84길,인테리어,72694811,3
7395,2014,1,골목상권,선유서로28길,호프-간이주점,206630868,5
7398,2014,1,골목상권,영등포로84길,중식음식점,153190845,2
7402,2014,1,골목상권,영등포로84길,고시원,100342353,10
7405,2014,1,골목상권,영등포로80길,슈퍼마켓,381272370,7
7414,2014,1,골목상권,선유서로28길,패스트푸드점,42558609,1
7417,2014,1,골목상권,선유서로25길,호프-간이주점,127729899,9
7421,2014,1,골목상권,선유서로25길,미용실,24319735,4
7424,2014,1,골목상권,선유서로25길,한의원,203154878,1
7429,2014,1,골목상권,선유서로25길,의약품,244725552,3
7432,2014,1,골목상권,선유서로24길,치킨전문점,14039955,1
7436,2014,1,골목상권,선유서로24길,시계및귀금속,6571490,1
7439,2014,1,골목상권,선유서로24길,스포츠클럽,49912367,1
7445,2014,1,골목상권,도림로63길,호프-간이주점,42350304,9
7448,2014,1,골목상권,신길로17길,슈퍼마켓,37366800,5
7452,2014,1,전통시장,우리시장,제과점,11695430,0
7455,2014,1,전통시장,우리시장,일반의류,54418893,7
7484,2014,1,골목상권,도신로15길,미용실,286074724,9
7487,2014,1,골목상권,양평로19길,자동차수리,416366321,5
7492,2014,1,골목상권,도신로29길,자동차수리,593186324,4
